gene_id,gene,gene_biotype,product,go_function,go_process
ATU_RS22185,,,ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS22190,,,ABC-F family ATP-binding cassette domain-containing protein,ATP binding|0005524||IEA,
ATU_RS22195,,,spore coat U domain-containing protein,,
ATU_RS22200,,,fimbria/pilus outer membrane usher protein,fimbrial usher porin activity|0015473||IEA,pilus assembly|0009297||IEA
ATU_RS22205,,,molecular chaperone,,chaperone-mediated protein folding|0061077||IEA
ATU_RS22210,,,spore coat U domain-containing protein,,
ATU_RS22215,,,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,aconitate hydratase activity|0003994||IEA,tricarboxylic acid cycle|0006099||IEA
ATU_RS22220,,,methyl-accepting chemotaxis protein,,
ATU_RS22225,,,hypothetical protein,,
ATU_RS22230,,,type B-1 chloramphenicol O-acetyltransferase CatB1,,
ATU_RS22235,,,NAD(P)/FAD-dependent oxidoreductase,,
ATU_RS22240,,,2,,
ATU_RS22245,,,sigma-54-dependent Fis family transcriptional regulator,,
ATU_RS22250,,,tetratricopeptide repeat protein,,
ATU_RS22255,,,LacI family DNA-binding transcriptional regulator,,
ATU_RS22260,,,substrate-binding domain-containing protein,,
ATU_RS22265,,,sugar ABC transporter ATP-binding protein,ATP binding|0005524||IEA,
ATU_RS22270,,,ABC transporter permease,transmembrane transporter activity|0022857||IEA,carbohydrate transport|0008643||IEA
ATU_RS22275,,,ABC transporter permease,transmembrane transporter activity|0022857||IEA,carbohydrate transport|0008643||IEA
ATU_RS22280,,,sugar phosphate isomerase/epimerase,isomerase activity|0016853||IEA,
ATU_RS22285,,,nucleoside triphosphate hydrolase,,
ATU_RS22290,,,sugar phosphate isomerase/epimerase family protein,catalytic activity|0003824||IEA,
ATU_RS22295,,,hypothetical protein,,
ATU_RS22300,ehuA,,ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA,ATP binding|0005524||IEA,hydroxyectoine transport|0033308||IEA
ATU_RS22305,ehuD,,ectoine/hydroxyectoine ABC transporter permease subunit EhuD,ATPase-coupled ectoine transmembrane transporter activity|0033286||IEA,hydroxyectoine transport|0033308||IEA
ATU_RS22310,ehuC,,ectoine/hydroxyectoine ABC transporter permease subunit EhuC,ATPase-coupled ectoine transmembrane transporter activity|0033286||IEA,hydroxyectoine transport|0033308||IEA
ATU_RS22315,ehuB,,ectoine/hydroxyectoine ABC transporter substrate-binding protein EhuB,ATPase-coupled ectoine transmembrane transporter activity|0033286||IEA,hydroxyectoine transport|0033308||IEA
ATU_RS22320,doeB,,N(2)-acetyl-L-2,,ectoine catabolic process|0042400||IEA
ATU_RS22325,doeA,,ectoine hydrolase DoeA,,ectoine catabolic process|0042400||IEA
ATU_RS22330,eutC,,ectoine utilization protein EutC,,ectoine catabolic process|0042400||IEA
ATU_RS22335,eutB,,hydroxyectoine utilization dehydratase EutB,,ectoine catabolic process|0042400||IEA
ATU_RS22340,,,PLP-dependent aminotransferase family protein,pyridoxal phosphate binding|0030170||IEA,
ATU_RS22345,,,aspartate aminotransferase family protein,,
ATU_RS22350,,,NAD-dependent succinate-semialdehyde dehydrogenase,,
ATU_RS22355,,,Lrp/AsnC family transcriptional regulator,DNA binding|0003677||IEA,
ATU_RS22360,,,GNAT family N-acetyltransferase,,
ATU_RS22365,phrB,,(6-4)DNA photolyase,,
ATU_RS22370,,,hypothetical protein,,
ATU_RS22375,csgH,,curli-like amyloid fiber formation chaperone CsgH,,
ATU_RS22380,,,curlin,,
ATU_RS22385,,,cyclase family protein,hydrolase activity,
ATU_RS22390,,,FAD binding domain-containing protein,,
ATU_RS22395,,,oxalate decarboxylase family bicupin,,
